employee_id,asset_id,assigned_date,return_date,location,status,condition,serial_number,model_number,warranty_expiration,maintenance_schedule,maintenance_last_date,maintenance_next_date
6,48,3/26/2021,7/25/2022,remote,pending,used,ut at dolor quis odio consequat varius integer ac leo pellentesque,aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi,6/27/2030,monthly,8/9/2020,6/13/2022
33,74,9/21/2021,4/11/2022,warehouse,inactive,refurbished,nam congue risus semper porta volutpat quam pede lobortis ligula,orci luctus et ultrices posuere cubilia curae donec pharetra magna,1/30/2030,monthly,12/13/2020,6/17/2020
7,38,6/11/2020,4/6/2021,remote,active,refurbished,platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt,est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat,5/5/2030,annually,4/5/2021,5/21/2021
24,51,8/26/2021,11/11/2020,warehouse,inactive,refurbished,sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu,sed tincidunt eu felis fusce posuere felis sed lacus morbi sem,8/19/2025,monthly,8/28/2022,3/29/2020
58,28,8/30/2021,2/3/2021,remote,inactive,refurbished,nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem,felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices,4/1/2029,monthly,4/5/2022,2/4/2020
87,87,3/31/2022,5/18/2021,office,active,new,nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus,leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar,9/3/2025,annually,11/9/2021,9/25/2021
99,80,3/11/2021,1/20/2020,warehouse,pending,new,ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem,in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium,9/22/2030,quarterly,11/24/2022,11/7/2020
50,50,2/23/2021,8/13/2022,remote,active,new,at velit vivamus vel nulla eget eros elementum pellentesque quisque,ac neque duis bibendum morbi non quam nec dui luctus rutrum,4/27/2027,quarterly,2/1/2020,8/9/2020
59,76,1/16/2020,5/4/2022,warehouse,active,used,fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit,ante ipsum primis in faucibus orci luctus et ultrices posuere,9/7/2027,monthly,9/12/2021,10/16/2020
96,23,3/29/2021,8/19/2021,warehouse,pending,new,non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus,orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus,2/29/2028,annually,11/26/2021,7/18/2022
90,71,7/4/2020,11/19/2021,remote,inactive,used,felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec,duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque,4/22/2029,quarterly,2/22/2021,7/20/2021
67,71,6/10/2020,5/10/2020,warehouse,active,refurbished,odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius,cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer,10/11/2030,monthly,1/3/2022,2/26/2020
87,11,8/14/2022,4/16/2020,warehouse,pending,refurbished,leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis,consequat in consequat ut nulla sed accumsan felis ut at dolor quis,7/24/2022,monthly,6/3/2021,2/10/2021
78,14,7/15/2021,1/15/2022,warehouse,active,new,eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in,dolor quis odio consequat varius integer ac leo pellentesque ultrices,7/22/2024,quarterly,9/17/2022,8/13/2022
99,47,7/3/2020,7/28/2022,remote,pending,refurbished,turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis,non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit,7/19/2022,monthly,11/18/2021,5/31/2022
9,74,10/13/2020,11/23/2020,warehouse,active,used,aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac,gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut,2/9/2029,monthly,7/22/2020,12/14/2021
86,4,1/9/2022,2/24/2022,remote,pending,refurbished,id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue,pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum,11/30/2023,quarterly,12/14/2020,4/29/2022
44,93,10/10/2021,11/8/2020,remote,pending,used,lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada,nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis,9/1/2027,monthly,2/28/2022,7/8/2021
77,61,8/10/2020,12/17/2022,warehouse,inactive,refurbished,quisque erat eros viverra eget congue eget semper rutrum nulla,integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi,10/14/2025,annually,8/30/2020,3/24/2020
80,61,9/12/2020,7/23/2021,warehouse,active,new,vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in,ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus,4/6/2030,annually,3/24/2022,3/7/2020
2,72,5/24/2020,1/26/2021,warehouse,pending,new,mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum,mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac,8/7/2026,annually,1/4/2022,10/24/2021
31,39,1/4/2022,11/1/2020,warehouse,inactive,new,suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula,nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient,7/11/2022,annually,2/27/2020,6/16/2022
9,96,7/12/2021,6/12/2021,remote,inactive,new,porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus,risus praesent lectus vestibulum quam sapien varius ut blandit non interdum,1/5/2023,monthly,6/10/2020,10/10/2021
93,22,3/24/2020,8/3/2021,warehouse,inactive,refurbished,tempus vivamus in felis eu sapien cursus vestibulum proin eu,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra,6/19/2029,annually,6/17/2020,12/16/2020
76,3,1/19/2020,10/5/2022,warehouse,active,new,a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum,luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit,9/17/2027,quarterly,11/27/2022,10/1/2020
44,21,5/9/2021,7/26/2020,remote,inactive,new,aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst,amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit,9/27/2022,annually,6/1/2021,11/19/2020
11,47,8/4/2021,3/13/2021,warehouse,inactive,new,lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante,non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis,12/25/2022,quarterly,3/8/2022,3/14/2020
29,18,8/22/2020,11/25/2022,remote,pending,new,vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla,nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue,11/12/2029,quarterly,4/26/2020,12/9/2022
24,83,10/8/2020,11/12/2020,warehouse,pending,used,at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae,quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie,4/5/2026,quarterly,2/18/2021,12/19/2020
30,91,9/28/2022,1/22/2020,warehouse,pending,new,odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat,a ipsum integer a nibh in quis justo maecenas rhoncus,2/4/2026,monthly,6/6/2020,6/10/2022
38,51,3/27/2021,2/8/2020,office,inactive,refurbished,rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer,ultrices aliquet maecenas leo odio condimentum id luctus nec molestie,10/1/2029,monthly,3/18/2022,5/12/2021
2,58,11/28/2020,11/26/2022,office,inactive,used,morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra,nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris,10/1/2022,annually,2/27/2020,9/10/2021
37,36,3/2/2022,1/12/2021,remote,inactive,new,in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing,venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et,3/19/2022,annually,7/21/2022,4/6/2021
76,20,3/1/2021,9/21/2021,warehouse,inactive,used,mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus,lobortis sapien sapien non mi integer ac neque duis bibendum morbi,7/17/2023,monthly,9/8/2020,5/12/2020
10,2,10/13/2021,1/11/2021,office,inactive,used,in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat,neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo,12/23/2027,annually,9/3/2021,6/21/2020
9,61,6/30/2021,7/26/2020,warehouse,pending,refurbished,in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie,erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus,11/21/2027,quarterly,8/30/2022,11/7/2020
99,17,11/13/2021,10/8/2021,office,inactive,new,ac est lacinia nisi venenatis tristique fusce congue diam id,porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce,6/7/2023,annually,2/18/2021,9/13/2020
21,99,9/10/2020,10/17/2022,remote,inactive,used,ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque,ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat,5/25/2030,quarterly,8/1/2021,10/4/2022
51,81,8/22/2020,2/12/2022,remote,active,new,sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi,at velit eu est congue elementum in hac habitasse platea,3/2/2030,monthly,3/1/2020,1/28/2022
55,21,8/15/2020,6/20/2021,warehouse,pending,refurbished,rhoncus dui vel sem sed sagittis nam congue risus semper,morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed,5/14/2027,quarterly,1/20/2020,4/18/2020
66,90,1/8/2022,11/5/2022,office,active,new,ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero,odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non,3/7/2026,annually,1/28/2020,6/5/2020
29,82,8/4/2021,12/13/2020,remote,active,new,curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi,odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis,11/18/2030,quarterly,1/16/2022,8/6/2020
69,31,7/7/2021,11/7/2021,office,inactive,used,sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis,augue aliquam erat volutpat in congue etiam justo etiam pretium,3/23/2023,quarterly,8/20/2020,9/29/2021
22,86,3/9/2022,4/14/2020,office,active,new,eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst,turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede,1/22/2022,quarterly,8/20/2022,8/10/2020
65,4,5/28/2020,4/5/2020,warehouse,pending,refurbished,nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit,nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa,8/19/2023,monthly,11/7/2022,7/1/2022
71,87,12/5/2022,12/8/2020,office,pending,used,hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie,sed tincidunt eu felis fusce posuere felis sed lacus morbi,10/1/2024,monthly,2/19/2022,9/14/2021
19,85,12/21/2020,11/25/2021,warehouse,inactive,refurbished,nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit,risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in,10/18/2028,annually,4/11/2022,2/25/2021
83,77,7/12/2021,7/5/2020,remote,pending,refurbished,curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus,convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis,7/29/2022,quarterly,3/13/2022,8/16/2020
74,37,5/2/2020,1/6/2020,warehouse,inactive,new,sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus,ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec,4/14/2028,annually,4/18/2020,6/16/2022
32,61,5/5/2020,3/16/2022,office,active,new,congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis,accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula,8/7/2026,monthly,3/17/2022,8/23/2021
25,48,4/26/2022,12/21/2021,remote,inactive,refurbished,orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu,donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis,7/10/2029,monthly,3/29/2020,8/8/2021
37,71,3/23/2020,2/10/2020,office,inactive,used,quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in,eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat,3/15/2022,monthly,1/15/2022,6/16/2020
2,13,3/16/2021,9/8/2022,remote,inactive,new,proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor,quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis,6/26/2029,quarterly,5/14/2021,11/13/2022
41,9,6/21/2021,10/26/2022,warehouse,inactive,used,enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis,suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis,8/16/2022,annually,2/24/2021,7/15/2022
91,38,7/22/2021,7/22/2021,office,inactive,new,viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est,cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit,12/2/2028,annually,4/14/2022,10/28/2021
39,75,4/7/2020,2/24/2022,warehouse,inactive,used,dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut,dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero,12/29/2025,monthly,4/19/2021,1/18/2020
46,11,3/7/2020,12/9/2020,warehouse,pending,refurbished,vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor,iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean,11/7/2022,quarterly,7/1/2022,5/10/2020
81,9,12/8/2021,5/4/2020,office,inactive,new,sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec,at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis,12/2/2025,monthly,6/27/2022,7/20/2020
99,45,3/26/2021,12/3/2020,remote,active,new,nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat in,semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh,12/19/2027,annually,2/2/2020,10/18/2021
52,73,2/12/2020,6/26/2021,remote,active,new,quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer,diam vitae quam suspendisse potenti nullam porttitor lacus at turpis,12/31/2026,monthly,10/27/2021,3/29/2020
86,75,8/15/2022,2/5/2020,remote,active,new,felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem,mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis,8/27/2022,annually,12/11/2020,5/26/2020
81,12,10/18/2022,5/12/2020,warehouse,pending,new,scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem,amet nulla quisque arcu libero rutrum ac lobortis vel dapibus,2/23/2025,monthly,6/1/2020,8/29/2020
38,59,6/19/2020,1/12/2020,warehouse,pending,refurbished,tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet,maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras,6/23/2029,quarterly,10/11/2020,12/9/2021
27,34,10/25/2021,9/5/2021,warehouse,pending,new,porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis,magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id,9/16/2026,quarterly,8/9/2020,6/17/2021
30,27,6/3/2020,12/3/2020,office,inactive,used,ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat,curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet,10/6/2030,quarterly,4/23/2021,3/30/2022
63,61,2/28/2020,1/19/2022,office,active,new,curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum,nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta,12/30/2029,quarterly,9/30/2022,3/13/2022
27,78,5/21/2021,7/30/2020,remote,active,new,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est,nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum,2/16/2030,quarterly,5/17/2022,2/27/2022
87,69,5/17/2021,12/29/2021,warehouse,active,refurbished,faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec,in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum,6/23/2028,quarterly,5/6/2022,9/14/2020
52,57,4/7/2021,7/6/2021,office,pending,used,sapien varius ut blandit non interdum in ante vestibulum ante,in consequat ut nulla sed accumsan felis ut at dolor,5/10/2030,annually,2/22/2022,5/16/2021
100,71,1/13/2022,5/1/2022,office,pending,refurbished,bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui,natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis,12/20/2030,annually,1/2/2022,10/3/2022
8,87,3/25/2022,5/1/2021,warehouse,active,new,libero rutrum ac lobortis vel dapibus at diam nam tristique tortor eu,augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis,4/6/2029,quarterly,12/13/2021,3/24/2021
100,4,12/18/2021,12/14/2022,remote,pending,used,viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac,quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla,9/5/2022,quarterly,1/24/2020,10/27/2022
46,8,4/11/2022,12/19/2021,office,active,used,amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus,non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra,7/7/2026,annually,7/6/2022,8/18/2022
91,54,1/27/2022,2/14/2021,warehouse,active,new,porta volutpat erat quisque erat eros viverra eget congue eget semper,duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis,3/12/2025,monthly,2/18/2021,11/11/2022
5,27,8/10/2022,3/22/2022,office,active,used,ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla,elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium,3/25/2024,quarterly,12/23/2021,6/4/2021
73,77,9/25/2021,7/7/2021,remote,pending,new,lobortis ligula sit amet eleifend pede libero quis orci nullam,congue risus semper porta volutpat quam pede lobortis ligula sit,5/25/2023,quarterly,6/29/2020,11/9/2020
35,27,12/4/2021,12/26/2020,warehouse,pending,used,quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa,varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus,4/20/2024,annually,1/4/2020,5/12/2020
7,17,3/13/2021,4/26/2021,remote,inactive,used,praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam,rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean,12/23/2022,quarterly,11/3/2022,7/21/2022
61,72,7/30/2021,10/9/2020,office,active,used,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices,leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique,10/12/2022,monthly,7/20/2021,1/1/2021
90,97,3/28/2021,9/23/2020,warehouse,inactive,new,donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend,varius integer ac leo pellentesque ultrices mattis odio donec vitae,7/17/2026,quarterly,6/1/2022,12/23/2020
2,83,10/16/2022,6/5/2020,warehouse,pending,new,maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra,aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante,8/14/2030,annually,5/27/2022,9/16/2021
76,95,7/4/2020,5/18/2020,remote,pending,used,sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan,nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci,10/19/2022,monthly,12/15/2020,9/28/2020
20,77,11/25/2020,6/9/2021,warehouse,active,refurbished,quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat,quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi,11/24/2030,annually,12/31/2020,12/14/2021
55,97,2/12/2020,4/15/2021,warehouse,active,refurbished,mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer,ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere,2/1/2030,annually,4/29/2022,1/10/2022
78,87,6/19/2020,8/20/2022,office,pending,refurbished,suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur,dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante,10/16/2024,monthly,12/2/2022,8/4/2021
81,15,9/29/2020,1/13/2021,warehouse,pending,used,penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum,potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus,10/5/2027,quarterly,3/4/2020,2/9/2020
38,96,3/14/2022,7/17/2021,warehouse,pending,used,ante vel ipsum praesent blandit lacinia erat vestibulum sed magna,magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce,11/1/2023,monthly,8/19/2021,4/21/2022
69,14,6/4/2022,7/4/2021,office,inactive,new,cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis,massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque,8/26/2022,monthly,11/4/2021,8/17/2022
