event_type,timestamp,device_type,interaction_duration,purchase_amount,location_latitude,location_longitude,customer_id,product_id
view,12/26/2024,mobile,2094,878.9,-5.0077012,122.5019655,468,44
view,6/2/2023,desktop,3260,45.05,5.0549877,-75.6789905,250,63
click,7/11/2001,desktop,2605,291.53,23.774635,115.084794,317,70
interaction,2/11/2001,tablet,276,182.23,53.29667,16.99062,656,50
interaction,11/27/2014,tablet,894,1.33,40.4869744,-3.6116494,758,59
purchase,5/30/2016,desktop,1846,411.52,45.2957261,18.6218398,6,28
purchase,6/27/2018,desktop,2325,942.17,19.4873902,-104.6383777,706,20
interaction,5/26/2006,desktop,1014,769.3,23.0981075,113.2537007,129,31
purchase,6/17/2004,mobile,932,963.37,6.223561,-77.404109,484,66
purchase,2/5/2002,desktop,1489,554.76,42.4090329,20.7487901,2,89
interaction,2/7/2008,desktop,3029,102.05,38.9814589,139.934112,190,92
interaction,8/3/2020,mobile,2429,930.62,55.1065781,55.3377071,135,9
interaction,10/6/2001,tablet,159,107.2,-15.6469053,-49.4466005,460,18
purchase,10/4/2019,desktop,1319,154.73,60.9596322,34.0219218,186,71
click,3/24/2020,desktop,2677,928.6,14.8004428,-89.551878,160,100
click,2/26/2022,desktop,550,349.01,49.9581804,22.281877,476,63
view,7/31/2025,desktop,1907,310.98,22.483182,113.916509,809,77
view,7/2/2015,desktop,1435,104.43,51.5574609,20.8640191,361,70
click,4/23/2021,desktop,3239,581.12,33.5915355,-101.8482479,351,60
view,12/21/2015,mobile,3529,510.87,-18.998706,-47.058302,754,90
interaction,3/8/2018,desktop,1687,713.78,37.7378509,138.7970925,635,92
view,6/25/2017,tablet,317,619.29,-6.797767,111.3262355,662,29
purchase,4/2/2016,tablet,2471,729.94,37.355469,120.434071,217,39
view,11/18/2006,desktop,3381,697.1,19.3947363,-70.5263459,556,44
interaction,5/29/2016,desktop,2048,557.69,48.0724737,7.3469006,156,2
purchase,8/1/2011,tablet,409,665.06,13.78851,100.33334,461,85
view,11/14/2001,tablet,2531,51.18,6.0481918,80.2153998,555,37
view,12/30/2022,tablet,2407,769.88,13.9289816,121.3567739,828,72
purchase,8/27/2016,tablet,680,88.27,22.0899425,104.7695962,390,58
interaction,12/17/2008,desktop,1532,330.32,32.0378049,118.7870855,486,18
interaction,12/28/2008,tablet,294,62.25,49.9958981,31.5594099,779,50
view,2/16/2006,tablet,1363,235.68,27.768996,112.792138,931,6
view,9/11/2000,tablet,2099,962.51,33.3457623,130.785523,868,48
interaction,11/21/2017,tablet,1475,166.48,-6.6111074,105.7703287,253,66
view,6/29/2016,tablet,1944,978.5,22.948016,113.366904,586,76
purchase,4/1/2025,desktop,2023,573.37,-6.6111441,106.8473377,134,58
view,2/9/2017,mobile,126,152.68,46.1016128,47.7243761,926,14
click,7/8/2002,desktop,819,538.99,-32.7208452,-60.7283624,465,78
view,1/25/2016,mobile,2977,418.07,41.6560291,-83.666758,919,87
click,7/17/2022,desktop,3367,814.75,-23.2140719,-46.8238911,962,1
interaction,6/27/2014,tablet,3557,165.66,59.0031146,12.2093266,898,20
click,12/5/2006,tablet,2091,235.43,41.0924488,-7.5927209,808,28
click,1/4/2016,mobile,2854,649.67,41.132444,122.660989,535,82
view,2/28/2018,mobile,2215,646.73,25.4110762,56.2482277,860,82
purchase,3/6/2007,mobile,617,319.9,49.7761881,16.0289677,710,55
interaction,10/8/2010,desktop,2219,329.45,60.3278292,54.3033879,712,89
interaction,5/25/2000,tablet,2124,882.27,50.1801755,28.7362455,985,38
click,9/19/2020,desktop,746,454.84,34.8663135,133.2811579,636,5
interaction,2/1/2015,tablet,193,389.69,19.9252706,99.8625116,292,80
view,3/1/2008,desktop,1054,960.11,43.6865336,43.5192652,574,35
purchase,6/7/2024,mobile,1586,741.61,-32.232355,-64.442428,811,88
click,3/14/2018,tablet,3350,109.53,-13.9705607,-71.8326771,211,60
interaction,12/16/2019,mobile,656,199.58,-7.5145399,112.7330892,320,11
interaction,4/14/2017,mobile,1281,406.78,51.1625615,54.9809527,328,35
click,8/4/2006,tablet,2875,527.99,28.426184,112.166522,831,81
click,8/18/2016,tablet,2731,537.61,40.3698651,48.1644626,370,2
interaction,12/31/2017,desktop,2400,95.58,22.801624,113.525165,482,12
view,6/18/2010,desktop,2879,892.68,53.0329376,23.6062185,72,98
click,9/11/2019,tablet,1821,14.15,-20.2904186,44.2999955,205,9
purchase,3/19/2020,tablet,1373,73.87,-13.3346641,-72.1579033,176,42
view,9/8/2005,tablet,2949,543.1,48.7730603,14.2851033,29,57
click,3/14/2015,tablet,2997,68.6,52.2239735,5.1704277,691,21
interaction,7/29/2018,tablet,827,164.56,-0.8922447,119.8504075,716,80
click,7/7/2015,mobile,373,282.4,31.421061,103.064018,808,56
purchase,5/14/2016,desktop,2196,338.5,-4.1710664,139.4415168,672,88
view,5/25/2006,mobile,2543,501.83,14.5590365,121.0409808,272,83
view,3/14/2024,mobile,2642,977.95,31.235029,121.512981,985,71
interaction,3/17/2003,tablet,624,401.37,39.907483,116.442259,357,99
view,4/23/2012,mobile,1894,228.7,46.254048,16.2368405,858,98
interaction,1/30/2024,mobile,2607,119.87,31.363344,120.547358,893,10
interaction,3/20/2008,tablet,476,512.56,57.4749779,25.491651,433,18
interaction,12/1/2014,desktop,1614,358.9,47.9962116,-4.1020654,216,98
view,1/16/2017,tablet,2514,729.63,25.49872,119.790168,117,91
interaction,10/21/2013,desktop,791,930.51,34.810487,117.323725,63,62
click,10/9/2003,tablet,556,937.0,48.0999765,29.124263,872,59
click,7/9/2017,tablet,1597,612.75,29.703113,107.389298,562,3
view,4/1/2002,desktop,3244,111.64,23.41698,113.078569,163,7
purchase,10/31/2024,desktop,1444,130.43,-1.880763,105.668503,983,92
view,1/16/2006,tablet,2503,178.93,16.8907872,121.5670029,265,6
click,12/16/2010,desktop,2055,729.59,42.6995493,24.0846607,620,57
click,5/2/2025,desktop,2747,543.17,49.6321945,16.7112603,263,92
interaction,7/8/2006,desktop,1394,608.69,58.222051,11.9182903,790,44
purchase,11/3/2018,tablet,3525,10.75,10.39799,123.915501,236,69
click,8/8/2015,mobile,606,885.87,26.4068381,-80.1058665,404,51
view,6/29/2007,tablet,2515,685.28,30.2787798,120.4583412,186,100
view,11/10/2015,mobile,2536,13.44,39.749144,116.143267,109,58
click,4/20/2021,mobile,1615,832.77,25.7784224,-103.2605763,576,43
purchase,5/12/2013,desktop,1387,110.08,-6.55307,106.27124,703,36
view,7/13/2023,mobile,1168,447.44,13.2874832,6.301229,262,100
interaction,2/12/2004,mobile,1361,78.1,-4.6488523,55.4194753,218,8
interaction,4/17/2009,desktop,3103,113.19,28.338821,113.676055,687,44
click,9/22/2004,desktop,2974,54.29,53.8595684,21.3130974,369,64
interaction,8/17/2006,mobile,2578,562.96,41.811979,126.918087,746,18
view,11/30/2006,desktop,1670,724.93,-7.5754887,110.8243272,585,6
view,7/28/2005,mobile,1637,909.96,-7.3977218,112.7226611,761,55
click,10/27/2017,tablet,2675,711.39,41.9562157,21.7152906,812,41
purchase,12/11/2001,mobile,1377,388.8,46.689671,126.11386,786,45
click,3/30/2001,mobile,239,934.32,60.3749535,19.8471958,235,97
interaction,6/29/2000,desktop,343,668.4,32.627137,119.257096,175,45
purchase,6/30/2025,tablet,192,335.5,51.2036947,16.1523941,256,14
view,10/1/2002,desktop,1322,837.35,47.8748302,38.0671601,192,33
purchase,7/31/2007,desktop,1719,192.31,35.811058,101.115673,202,35
view,6/9/2021,desktop,2857,806.58,13.8263157,100.5053999,798,23
interaction,1/3/2010,desktop,2828,886.59,40.8207633,24.2429692,696,97
purchase,4/24/2015,mobile,446,91.42,14.2845667,122.6794094,250,7
view,6/25/2024,mobile,299,133.96,58.9867399,16.1955511,431,18
click,1/17/2004,tablet,2935,842.2,7.0513571,14.4344853,888,52
click,4/26/2014,desktop,1522,134.63,-6.7888012,111.466342,284,26
purchase,3/23/2005,tablet,1441,550.78,44.5847556,21.7503934,353,59
view,5/8/2015,tablet,3333,53.11,10.425,124.0005,537,31
click,12/29/2014,mobile,597,867.04,59.2980063,18.0669126,422,66
view,9/30/2020,desktop,2561,943.4,-8.8559,121.6432,305,92
click,12/28/2016,desktop,1921,614.68,0.8348125,124.3199316,689,74
click,1/2/2017,mobile,2728,720.16,43.4945737,5.8978018,540,5
interaction,5/8/2016,tablet,380,229.0,30.677233,121.015142,566,96
interaction,6/13/2023,mobile,2522,197.43,55.1604671,49.1738671,926,59
interaction,6/30/2009,mobile,2571,557.02,34.7226934,135.5286653,572,47
view,12/22/2018,desktop,2199,207.09,-23.2652376,-47.2997218,345,23
interaction,8/10/2000,tablet,1751,263.8,48.8277019,24.8993085,275,58
purchase,6/8/2024,mobile,534,310.24,60.7610412,-135.1742264,975,57
interaction,4/29/2007,mobile,35,245.91,40.513357,96.769073,970,84
view,11/27/2017,mobile,2655,789.29,45.2414259,20.3589241,340,97
click,5/28/2023,desktop,2280,457.36,41.701706,48.2809323,794,61
view,4/9/2001,tablet,766,69.99,46.2686934,95.2732977,168,36
view,3/1/2014,desktop,347,235.43,58.9670963,5.7318798,840,54
view,6/20/2017,tablet,324,728.48,51.904635,-8.958931,185,74
interaction,2/19/2009,desktop,2342,566.42,45.235059,18.6364096,169,7
view,9/5/2008,tablet,2539,608.53,34.0556839,73.1511314,169,95
interaction,7/11/2011,mobile,2470,704.99,54.2084536,72.9614362,917,100
purchase,12/10/2003,tablet,3573,838.29,34.7266084,135.6196126,650,28
interaction,8/2/2006,desktop,3379,123.34,34.2818498,109.002843,729,53
interaction,1/29/2009,tablet,1504,160.13,23.254488,116.370159,982,44
view,9/26/2020,desktop,3343,391.73,44.76324,17.19012,640,90
click,2/3/2024,desktop,3074,516.49,3.9456908,-74.7102958,470,26
view,3/2/2009,tablet,2014,570.57,39.16405,117.246702,548,51
click,3/11/2024,tablet,469,523.54,51.9038827,23.1771438,867,68
purchase,7/10/2021,desktop,2663,581.44,54.0474092,38.404411,281,24
click,8/24/2004,tablet,917,796.04,-6.4342997,105.896559,111,68
interaction,8/23/2014,tablet,2133,316.49,38.5908192,-9.017701,281,35
view,7/13/2015,mobile,1066,826.03,50.1069802,20.6303821,335,88
interaction,3/14/2018,desktop,3040,633.11,30.2427011,120.1502699,933,88
purchase,6/9/2014,tablet,836,937.4,41.6919638,-86.3754398,409,78
click,5/26/2020,tablet,47,809.79,-23.5795137,-47.9985512,539,72
purchase,9/25/2023,tablet,18,267.74,-25.0225309,46.9853688,658,25
view,6/24/2011,tablet,1741,136.2,13.0748879,120.7213113,826,31
view,3/16/2024,tablet,2288,404.27,38.35,-81.64,6,11
view,9/9/2000,tablet,1906,857.45,11.2770374,9.8822665,700,16
view,1/29/2025,mobile,3447,374.84,49.8856487,22.1027541,660,70
view,4/22/2019,tablet,1138,719.26,37.3,85.5,896,54
interaction,7/13/2015,desktop,3302,597.31,14.0786882,101.0259275,935,25
view,1/27/2003,desktop,265,101.13,43.7441795,2.511999,399,76
purchase,6/14/2004,tablet,819,898.28,-21.8833835,-42.6985095,126,12
view,6/11/2016,desktop,3421,630.78,42.4466457,19.8827002,444,100
click,10/11/2013,mobile,1031,411.02,60.145521,16.17123,767,59
view,4/21/2009,desktop,2882,877.15,19.4052965,-99.1504583,534,95
interaction,12/30/2010,mobile,702,390.89,50.4273892,124.1226608,802,79
view,5/23/2013,mobile,2235,343.4,-9.9876076,39.6982485,192,28
purchase,5/6/2009,tablet,2742,341.5,38.6223353,-9.0891772,307,41
interaction,11/11/2024,mobile,3154,754.2,16.0619782,103.4049445,814,18
purchase,2/16/2004,desktop,3193,892.74,-27.3863909,-56.8479781,976,17
interaction,12/4/2008,tablet,1485,889.72,14.565668,121.0317737,995,8
interaction,1/2/2005,mobile,1084,374.99,27.582186,113.358645,534,98
view,10/10/2006,tablet,2330,612.81,42.038041,-8.324549,543,42
purchase,1/1/2009,mobile,3118,56.37,37.399373,110.691139,28,20
click,12/27/2001,tablet,605,628.76,43.5167511,-79.8576828,855,28
view,8/8/2016,mobile,358,212.46,20.5072923,-13.052978,335,74
click,8/17/2019,mobile,154,637.74,-8.2012757,112.1012912,721,22
purchase,12/7/2006,mobile,1040,211.26,10.8281332,-75.0961549,46,54
view,5/29/2011,mobile,3152,318.75,18.1405298,120.5168009,592,66
click,6/19/2016,mobile,2968,498.46,9.9648655,-71.1329685,299,54
view,7/22/2006,tablet,1280,415.3,51.4588944,3.5455371,119,7
interaction,12/1/2018,mobile,2214,406.44,36.2140865,58.7960915,572,45
view,12/4/2023,tablet,3034,578.75,51.035673,18.5985286,743,15
click,6/12/2019,tablet,3480,120.8,59.3145841,18.0615388,155,33
view,2/22/2012,desktop,1530,537.11,14.5671014,121.0312325,849,85
click,6/24/2022,tablet,3599,227.55,14.5636407,121.0134927,877,70
interaction,4/19/2011,tablet,1205,209.47,41.6840477,24.2930311,572,46
click,7/2/2011,tablet,2631,454.52,37.6364006,-7.984789,422,37
interaction,12/2/2024,mobile,1966,476.49,30.674362,107.803911,867,86
purchase,10/20/2021,mobile,2074,625.67,53.532995,57.5184732,342,63
click,12/26/2002,tablet,3382,784.59,25.09204,104.895467,674,66
click,1/16/2018,tablet,2477,846.56,14.26297,121.1281849,621,65
purchase,8/12/2013,tablet,1215,695.14,61.6833669,96.3806203,285,26
interaction,11/19/2003,tablet,916,697.46,-7.4242782,109.2396366,857,94
view,2/10/2007,tablet,478,498.56,28.998299,110.464464,653,67
interaction,3/13/2017,tablet,222,62.26,-6.81357,30.4326,197,65
purchase,1/31/2002,desktop,2202,741.3,34.08611,106.585112,127,40
interaction,9/10/2019,desktop,274,936.98,17.5358596,121.6851715,534,80
view,12/29/2015,tablet,1873,196.63,35.9202328,39.1595698,813,92
view,3/16/2015,tablet,3103,168.47,-8.4181686,118.2818967,76,45
click,10/13/2010,desktop,3574,941.29,49.0261841,1.1518478,407,28
click,7/30/2007,desktop,1051,65.81,50.2614833,14.2988193,916,9
view,2/14/2006,tablet,936,765.34,-18.4001194,47.8699039,583,86
interaction,12/17/2021,mobile,387,204.22,-20.2307033,-70.1356692,310,95
view,10/3/2006,mobile,2073,559.1,40.7525629,-73.976024,376,80
interaction,9/27/2008,tablet,642,585.77,48.695223,2.190167,177,86
click,11/3/2012,tablet,1449,343.31,-6.7299868,107.359399,340,5
view,3/7/2024,tablet,1667,29.75,-10.2474296,29.9104436,796,42
click,10/5/2004,tablet,2027,314.6,38.7759506,-9.2661131,186,19
purchase,11/18/2020,tablet,995,939.44,53.0382065,21.9907815,787,77
interaction,11/14/2021,desktop,2001,111.45,32.979258,114.890194,440,69
click,1/3/2005,tablet,196,72.86,31.046822,115.318821,953,48
interaction,2/7/2005,tablet,1508,813.94,29.2594417,120.2331913,239,29
view,6/9/2013,tablet,365,141.65,49.4931107,36.8206064,615,66
purchase,1/30/2005,desktop,2454,494.0,60.4563994,50.9907161,341,31
purchase,5/4/2022,mobile,3043,218.05,49.5255788,18.3904377,309,92
purchase,4/6/2014,tablet,1098,644.67,-22.2275469,-48.7379527,250,22
click,8/1/2015,tablet,1233,171.4,46.1705063,1.8852108,63,4
purchase,3/16/2014,mobile,3441,851.73,37.039991,115.667208,284,63
click,9/9/2005,tablet,3101,279.58,32.1942601,35.3736237,924,63
view,6/20/2015,desktop,1446,539.03,14.5719534,121.0344899,331,68
interaction,12/6/2024,desktop,2017,974.37,43.331546,27.5912198,945,99
click,5/30/2007,tablet,2773,903.86,-7.1916713,-79.5139718,896,33
purchase,6/25/2006,tablet,2196,453.18,14.5458392,121.0044883,30,75
click,3/17/2011,desktop,2098,20.19,34.0953553,49.7013486,991,87
view,2/9/2001,tablet,3463,221.97,53.1872306,18.0963464,234,58
view,6/17/2009,desktop,1126,505.07,15.3985496,-88.5655913,252,70
view,9/13/2019,desktop,2829,787.42,14.570844,121.0230236,955,9
purchase,12/19/2020,desktop,541,552.3,36.2944144,28.1620173,829,15
view,7/23/2002,mobile,222,830.62,-6.147133,106.6232359,85,8
purchase,2/27/2020,mobile,3195,859.33,11.7931418,17.1632224,177,52
view,5/27/2019,tablet,1012,600.08,57.5780197,48.9602971,171,81
interaction,9/22/2017,desktop,1323,614.71,-6.5627613,106.0669571,391,15
interaction,3/25/2002,desktop,373,498.41,-9.8374219,124.5915966,45,22
view,9/23/2015,desktop,116,739.97,-22.573223,-47.1731269,474,8
interaction,8/9/2015,mobile,3205,104.84,31.966667,65.983333,4,66
purchase,4/25/2003,mobile,2084,243.86,24.564073,108.525769,925,60
click,11/17/2001,tablet,3150,272.53,45.0222956,39.1162056,57,71
interaction,10/4/2015,tablet,2378,445.47,-37.8060734,-72.7038047,101,31
interaction,1/13/2025,desktop,825,408.62,31.364902,108.249509,550,64
view,1/7/2010,mobile,1224,724.45,39.2022108,-9.3297345,983,79
purchase,12/27/2013,desktop,2630,559.37,39.2699174,-9.1052924,192,77
click,7/21/2020,desktop,701,778.71,-3.870003,-38.602824,328,13
purchase,9/30/2020,desktop,1356,66.07,51.5574609,20.8640191,872,71
purchase,7/17/2025,desktop,3290,583.62,39.4721645,-8.5034561,666,8
purchase,2/27/2007,desktop,2689,414.94,40.7419285,-73.6833119,33,31
view,3/30/2001,tablet,1912,335.92,24.781681,118.552365,552,62
purchase,9/15/2009,tablet,955,438.91,-37.9595992,-57.5629395,951,100
click,6/15/2022,tablet,1694,749.05,33.918534,8.1229329,246,100
interaction,5/23/2013,desktop,165,638.99,43.2370452,23.1251092,255,85
interaction,2/3/2024,mobile,788,115.06,-6.1583904,106.4288088,86,28
view,1/18/2007,mobile,2188,52.72,53.3004898,-6.2634596,710,61
purchase,10/11/2016,tablet,2942,722.72,-6.761747,111.486801,184,70
click,10/7/2011,mobile,1939,562.02,-6.8245964,111.4544179,340,85
click,7/8/2004,tablet,2834,148.28,11.055153,122.476035,347,31
view,8/5/2024,mobile,295,158.8,34.7836044,113.6738442,637,88
view,5/1/2000,desktop,1097,595.08,43.4945737,5.8978018,785,86
click,1/21/2001,tablet,3125,209.1,37.4056028,139.7874841,560,77
click,1/12/2007,tablet,2216,530.97,35.10456,134.067383,500,33
purchase,4/6/2020,desktop,1463,13.6,31.1123069,-8.496595,271,83
purchase,6/21/2025,mobile,2805,767.68,49.9606288,13.6430342,445,69
click,5/1/2023,desktop,2456,689.15,49.8981462,19.7352476,297,13
interaction,2/20/2014,desktop,120,756.13,40.2690451,-7.9886104,606,20
interaction,8/9/2002,desktop,1162,449.65,56.6810923,12.8148182,95,14
interaction,1/25/2016,tablet,1945,815.47,-15.67164,-74.536774,928,43
interaction,7/5/2011,tablet,1231,589.74,47.8863988,106.9057439,376,1
interaction,7/16/2012,desktop,2755,946.09,45.2544588,5.7043997,478,57
click,10/21/2008,desktop,3377,650.23,14.5665378,121.1092186,746,79
view,3/6/2022,mobile,3083,412.96,54.13607,19.00874,73,82
view,2/11/2007,tablet,848,677.39,-6.4342997,105.896559,314,29
click,11/6/2019,tablet,1680,424.26,34.1349887,-118.1507494,765,71
view,7/22/2008,tablet,202,819.43,-7.02476,107.08093,26,69
view,8/30/2014,desktop,2567,457.64,43.2082756,46.0845137,589,67
purchase,4/26/2014,tablet,1642,706.96,32.25124,35.26716,414,41
view,10/27/2020,mobile,1945,984.17,23.131797,113.407143,187,14
click,7/12/2016,desktop,1413,206.66,11.4222249,122.055373,193,5
interaction,2/4/2002,mobile,3447,879.15,46.1705063,1.8852108,618,8
click,9/23/2006,tablet,3475,809.5,35.79,-105.99,100,42
interaction,9/15/2003,desktop,2999,828.6,12.309606,121.92404,305,62
click,12/12/2013,mobile,1939,565.78,38.30647,28.266799,565,77
purchase,9/19/2017,desktop,701,981.69,51.561779,7.1090932,109,84
view,12/4/2015,tablet,3566,704.49,24.44218,114.938684,401,20
interaction,4/19/2025,desktop,2326,425.02,14.4437531,102.8514837,448,40
purchase,2/6/2009,desktop,3076,215.91,17.6992092,121.5038757,20,56
interaction,1/13/2023,mobile,2639,681.81,4.809984,-74.354009,110,49
view,6/22/2004,mobile,3589,846.91,55.6558059,37.4793238,487,1
purchase,1/21/2008,mobile,2510,585.28,2.6087182,96.1686077,619,3
view,8/2/2017,desktop,3372,736.58,35.4159603,133.2439826,490,98
view,6/14/2013,desktop,1905,376.64,-28.7415512,30.461686,559,26
interaction,5/6/2010,mobile,545,820.27,-8.6519695,116.4813482,320,70
purchase,3/1/2021,desktop,502,465.41,60.8110019,21.4457309,101,55
purchase,6/23/2003,mobile,2662,716.89,41.1741505,-8.6691157,39,11
interaction,2/12/2020,mobile,554,371.46,49.9484387,23.5302946,839,74
click,5/21/2024,desktop,2581,936.21,60.9794357,28.0853523,864,16
click,10/17/2005,mobile,1646,355.17,53.36678,-104.00092,189,7
view,8/13/2016,desktop,2853,837.96,54.1463269,12.1186173,728,70
view,8/15/2012,tablet,2869,446.9,36.1364291,139.3741999,115,34
purchase,11/14/2025,desktop,778,751.68,10.6852616,43.946063,97,40
interaction,6/28/2019,mobile,3446,201.26,-8.8056791,121.7252457,522,4
click,8/24/2006,mobile,3259,193.32,40.1860023,116.2144241,764,96
purchase,12/1/2023,tablet,3520,78.56,42.1144473,-72.4909026,98,99
purchase,9/6/2016,desktop,2129,770.53,-7.2630131,112.7211714,231,10
view,10/30/2002,tablet,434,935.45,42.3930959,18.9115964,749,14
interaction,8/18/2008,desktop,819,28.21,16.3859953,121.1079276,253,21
interaction,11/26/2018,tablet,1593,717.86,-17.4047609,-63.7311505,691,100
view,7/23/2011,desktop,408,666.29,5.069435,-74.380305,292,84
purchase,9/7/2025,desktop,1036,263.56,52.1412597,20.8418962,206,25
view,1/21/2018,desktop,2380,886.83,54.62514,100.123642,585,63
interaction,4/26/2009,tablet,1591,196.48,-11.7283752,-49.0686083,334,25
interaction,1/2/2002,desktop,908,890.78,-1.4580748,114.4108587,411,19
click,5/2/2009,tablet,2423,113.21,6.7810505,-76.7798172,333,46
click,5/20/2005,tablet,1802,811.07,52.7401064,15.2665222,337,97
interaction,4/2/2005,desktop,159,108.36,45.66667,113.08333,449,2
view,11/12/2008,tablet,1026,320.61,61.00862,14.57173,475,39
interaction,10/15/2008,tablet,2038,345.18,7.7826709,4.5418141,890,66
purchase,9/18/2004,desktop,1249,530.64,14.1858094,121.510481,455,62
click,1/17/2022,tablet,3158,827.35,-22.384597,-41.7828793,810,88
view,12/29/2004,mobile,891,284.68,-6.980092,-35.8934136,618,38
click,8/11/2019,desktop,127,101.04,33.612843,113.667436,124,63
view,3/3/2000,mobile,279,906.31,37.429832,110.88907,766,25
click,9/21/2004,desktop,301,519.78,23.0594685,113.8146974,132,13
view,5/23/2008,desktop,2895,556.49,38.0208091,-7.8554287,330,97
purchase,10/23/2020,mobile,1814,905.87,36.275231,113.310158,145,19
view,8/2/2023,desktop,956,752.76,-6.8089753,106.493598,79,90
view,1/1/2006,desktop,506,534.44,-4.8768346,-80.9732924,716,79
interaction,12/5/2008,mobile,2198,604.03,52.675914,-113.5832367,853,48
purchase,2/26/2024,desktop,618,93.17,37.74,-122.19,317,47
click,1/24/2005,desktop,283,678.57,14.5598603,121.0335354,38,10
purchase,7/2/2021,tablet,3530,739.91,-1.2543408,-78.6228504,482,91
click,2/24/2011,desktop,2657,101.23,47.837001,28.4339797,322,63
view,6/18/2019,mobile,2332,692.14,-32.75,-70.7208115,290,93
purchase,3/10/2014,tablet,3335,779.33,33.6523096,-86.7114545,671,41
view,2/4/2014,mobile,3553,322.89,25.324458,108.000485,819,94
view,7/31/2010,mobile,256,97.96,41.2612832,22.9989148,985,27
interaction,7/25/2018,desktop,1496,92.49,60.889349,24.5208664,869,59
purchase,12/7/2015,mobile,1503,209.24,-10.1709258,123.6059899,352,88
purchase,3/25/2025,mobile,2603,578.18,47.1892329,8.7108197,200,13
interaction,2/27/2003,desktop,2115,601.78,5.9630513,10.1591213,706,35
purchase,4/6/2009,desktop,3112,696.54,27.791959,-82.723924,520,43
click,12/23/2012,tablet,1245,113.05,69.1979686,33.4406638,739,3
view,11/6/2017,desktop,2373,924.43,43.9574882,12.4552546,623,66
interaction,9/20/2009,tablet,104,35.5,-17.8546259,-40.3322956,444,23
view,3/7/2005,desktop,276,270.11,43.6422125,-79.3744257,686,16
click,8/28/2004,tablet,3426,575.51,35.032891,108.093259,230,10
click,1/19/2010,tablet,2519,229.03,40.2690451,-7.9886104,134,59
click,4/9/2020,desktop,2235,660.52,40.6027503,22.9896482,600,9
click,3/22/2022,tablet,1958,610.59,31.329601,120.434238,801,29
view,5/14/2021,mobile,74,434.87,19.0077085,-69.7320914,108,4
interaction,7/3/2025,mobile,3108,124.4,-6.5717496,105.9494248,803,32
click,1/3/2011,mobile,2811,307.93,1.160532,-76.6181655,706,37
purchase,7/22/2023,desktop,396,677.8,38.5,101.21667,64,1
click,1/31/2010,desktop,1075,556.06,33.8937913,35.5017767,455,34
click,1/4/2013,mobile,2672,149.45,14.1652083,-16.0757749,918,48
interaction,1/9/2018,tablet,1064,183.26,30.029634,121.281625,795,100
interaction,8/6/2005,mobile,2390,893.15,21.3926035,-77.9053182,683,53
view,10/16/2014,tablet,1141,90.66,41.3715365,-8.7162646,856,41
purchase,3/31/2008,desktop,43,611.3,41.7464398,-8.3721165,335,72
purchase,12/7/2015,tablet,569,21.76,41.701706,48.2809323,64,35
interaction,12/12/2009,tablet,1486,822.7,-21.6733002,-49.7471388,283,34
view,7/1/2017,mobile,2600,910.33,-33.3516458,-56.5112061,958,69
purchase,10/16/2008,tablet,3254,661.66,28.953619,111.70719,723,96
view,7/4/2016,tablet,2617,299.91,46.8439197,-1.8718358,830,88
click,11/30/2019,mobile,3183,110.27,23.4464152,120.2570421,862,13
